n_amenageur,n_operateur,n_enseigne,id_station,n_station,ad_station,code_insee,Xlongitude,Ylatitude,nbre_pdc,id_pdc,puiss_max,type_prise,acces_recharge,accessibilite,observations,date_maj
SDE07,SDE07,E Born,FR*S07*P07002*A,AILHON_Le Village,Le Village 07200 AILHON,07002,4.34169600,44.59790700,,FR*S07*E07002*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07002*A,AILHON_Le Village,Le Village 07200 AILHON,07002,4.34169600,44.59790700,,FR*S07*E07002*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07005*A,ALBA LA ROMAINE_Parking le clos - Le clos,Parking le clos - Le clos 07400 ALBA LA ROMAINE,07005,4.59726100,44.55336500,,FR*S07*E07005*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07005*A,ALBA LA ROMAINE_Parking le clos - Le clos,Parking le clos - Le clos 07400 ALBA LA ROMAINE,07005,4.59726100,44.55336500,,FR*S07*E07005*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07008*A,ALISSAS_Place de la Mairie,Place de la Mairie 07210 ALISSAS,07008,4.63269400,44.71450000,,FR*S07*E07008*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07008*A,ALISSAS_Place de la Mairie,Place de la Mairie 07210 ALISSAS,07008,4.63269400,44.71450000,,FR*S07*E07008*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07009*A,ANDANCE_Place Maxime Chantier,Place Maxime Chantier 07340 ANDANCE,07009,4.79864300,45.23989700,,FR*S07*E07009*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07009*A,ANDANCE_Place Maxime Chantier,Place Maxime Chantier 07340 ANDANCE,07009,4.79864300,45.23989700,,FR*S07*E07009*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07010*A,ANNONAY_Rue de la Valette - Parking la Valette,Rue de la Valette - Parking la Valette 07100 ANNONAY,07010,4.67073500,45.24171300,,FR*S07*E07010*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07010*A,ANNONAY_Rue de la Valette - Parking la Valette,Rue de la Valette - Parking la Valette 07100 ANNONAY,07010,4.67073500,45.24171300,,FR*S07*E07010*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07010*B,ANNONAY_Avenue de la Gare,Avenue de la Gare 07100 ANNONAY,07010,4.67470200,45.24473800,,FR*S07*E07010*B*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07010*B,ANNONAY_Avenue de la Gare,Avenue de la Gare 07100 ANNONAY,07010,4.67470200,45.24473800,,FR*S07*E07010*B*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07011*A,ANTRAIGUES SUR VOLANE_Les Allevards,Les Allevards 07530 ANTRAIGUES SUR VOLANE,07011,4.35882700,44.71944800,,FR*S07*E07011*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07011*A,ANTRAIGUES SUR VOLANE_Les Allevards,Les Allevards 07530 ANTRAIGUES SUR VOLANE,07011,4.35882700,44.71944800,,FR*S07*E07011*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07019*A,AUBENAS_Place de l Airette,Place de l Airette 07200 AUBENAS,07019,4.39254200,44.62086000,,FR*S07*E07019*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07019*A,AUBENAS_Place de l Airette,Place de l Airette 07200 AUBENAS,07019,4.39254200,44.62086000,,FR*S07*E07019*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07019*B,AUBENAS_Place de la Pécourte,Place de la Pécourte 07200 AUBENAS,07019,4.38746900,44.61962400,,FR*S07*E07019*B*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07019*B,AUBENAS_Place de la Pécourte,Place de la Pécourte 07200 AUBENAS,07019,4.38746900,44.61962400,,FR*S07*E07019*B*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07024*A,BANNE_Lochere,Lochere 07460 BANNE,07024,4.15520300,44.36648800,,FR*S07*E07024*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07024*A,BANNE_Lochere,Lochere 07460 BANNE,07024,4.15520300,44.36648800,,FR*S07*E07024*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07034*A,BIDON_Le Village,Le Village 07700 BIDON,07034,4.53415900,44.36620300,,FR*S07*E07034*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07034*A,BIDON_Le Village,Le Village 07700 BIDON,07034,4.53415900,44.36620300,,FR*S07*E07034*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07042*A,BOURG ST ANDEOL_Place du Champs de Mars,Place du Champs de Mars 07700 BOURG ST ANDEOL,07042,4.64377400,44.37147700,,FR*S07*E07042*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07042*A,BOURG ST ANDEOL_Place du Champs de Mars,Place du Champs de Mars 07700 BOURG ST ANDEOL,07042,4.64377400,44.37147700,,FR*S07*E07042*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07042*B,BOURG ST ANDEOL_Place Jardin Neptune,Place Jardin Neptune 07700 BOURG ST ANDEOL,07042,4.64672700,44.36712900,,FR*S07*E07042*B*B1*D,43.00,combo,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07042*B,BOURG ST ANDEOL_Place Jardin Neptune,Place Jardin Neptune 07700 BOURG ST ANDEOL,07042,4.64672700,44.36712900,,FR*S07*E07042*B*B1*G,43.00,T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07051*A,CHAMPAGNE_Le Village,Le Village 07340 CHAMPAGNE,07051,4.80108000,45.27113800,,FR*S07*E07051*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07051*A,CHAMPAGNE_Le Village,Le Village 07340 CHAMPAGNE,07051,4.80108000,45.27113800,,FR*S07*E07051*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07052*A,CHAMPIS_Fringuet,Fringuet 07440 CHAMPIS,07052,4.76573200,44.94179400,,FR*S07*E07052*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07052*A,CHAMPIS_Fringuet,Fringuet 07440 CHAMPIS,07052,4.76573200,44.94179400,,FR*S07*E07052*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07053*A,CHANDOLAS_Le Verdal,Le Verdal 07230 CHANDOLAS,07053,4.23633000,44.39337300,,FR*S07*E07053*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07053*A,CHANDOLAS_Le Verdal,Le Verdal 07230 CHANDOLAS,07053,4.23633000,44.39337300,,FR*S07*E07053*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07064*A,LE CHEYLARD_Place de la Liberte,Place de la Liberte 07160 LE CHEYLARD,07064,4.42219400,44.90652830,,FR*S07*E07064*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07064*A,LE CHEYLARD_Place de la Liberte,Place de la Liberte 07160 LE CHEYLARD,07064,4.42219400,44.90652830,,FR*S07*E07064*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07064*B,LE CHEYLARD_Place de la Guinguette,Place de la Guinguette 07160 LE CHEYLARD,07064,4.42441000,44.90586800,,FR*S07*E07064*B*B1*D,22.00,combo,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07064*B,LE CHEYLARD_Place de la Guinguette,Place de la Guinguette 07160 LE CHEYLARD,07064,4.42441000,44.90586800,,FR*S07*E07064*B*B1*G,22.00,T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07066*A,CHOMERAC_Le Triolet,Le Triolet 07210 CHOMERAC,07066,4.66295900,44.70697700,,FR*S07*E07066*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07066*A,CHOMERAC_Le Triolet,Le Triolet 07210 CHOMERAC,07066,4.66295900,44.70697700,,FR*S07*E07066*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07069*A,COLOMBIER LE VIEUX_Place du Marché,Place du Marché 07410 COLOMBIER LE VIEUX,07069,4.69543900,45.06615400,,FR*S07*E07069*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07069*A,COLOMBIER LE VIEUX_Place du Marché,Place du Marché 07410 COLOMBIER LE VIEUX,07069,4.69543900,45.06615400,,FR*S07*E07069*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07070*A,CORNAS_Avenue du Colonel Rousset,Avenue du Colonel Rousset 07130 CORNAS,07070,4.84810300,44.96071900,,FR*S07*E07070*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07070*A,CORNAS_Avenue du Colonel Rousset,Avenue du Colonel Rousset 07130 CORNAS,07070,4.84810300,44.96071900,,FR*S07*E07070*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07071*A,COUCOURON_Place du 14 Juillet,Place du 14 Juillet 07470 COUCOURON,07071,3.97075000,44.80311100,,FR*S07*E07071*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07071*A,COUCOURON_Place du 14 Juillet,Place du 14 Juillet 07470 COUCOURON,07071,3.97075000,44.80311100,,FR*S07*E07071*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07072*A,COUX_Place d'Onclaire,Place d'Onclaire 07000 COUX,07072,4.62365100,44.73589100,,FR*S07*E07072*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07072*A,COUX_Place d'Onclaire,Place d'Onclaire 07000 COUX,07072,4.62365100,44.73589100,,FR*S07*E07072*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07075*A,CROS DE GEORAND_La Palisse,La Palisse 07630 CROS DE GEORAND,07075,4.10358000,44.77788000,,FR*S07*E07075*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07075*A,CROS DE GEORAND_La Palisse,La Palisse 07630 CROS DE GEORAND,07075,4.10358000,44.77788000,,FR*S07*E07075*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07076*A,CRUAS_Place René Cassin,Place René Cassin 07350 CRUAS,07076,4.76545300,44.65717100,,FR*S07*E07076*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07076*A,CRUAS_Place René Cassin,Place René Cassin 07350 CRUAS,07076,4.76545300,44.65717100,,FR*S07*E07076*A*B1*G,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
SDE07,SDE07,E Born,FR*S07*P07078*A,DAVEZIEUX_Place de la Poste,Place de la Poste 07430 DAVEZIEUX,07078,4.70591000,45.25732400,,FR*S07*E07078*A*B1*D,22.00,E/F + T2,Payant,24/24 7/7 jours,,20180209
